Name,Num of params,requires_grad
backbone.prompt_embeddings,6144,True
backbone.norm_up.weight,96,True
backbone.norm_up.bias,96,True
backbone.patch_embed.proj.weight,4608,True
backbone.patch_embed.proj.bias,96,True
backbone.patch_embed.norm.weight,96,True
backbone.patch_embed.norm.bias,96,True
backbone.layers.0.blocks.0.norm1.weight,96,True
backbone.layers.0.blocks.0.norm1.bias,96,True
backbone.layers.0.blocks.0.attn.relative_position_bias_table,507,True
backbone.layers.0.blocks.0.attn.qkv.weight,27648,False
backbone.layers.0.blocks.0.attn.qkv.bias,288,False
backbone.layers.0.blocks.0.attn.proj.weight,9216,False
backbone.layers.0.blocks.0.attn.proj.bias,96,False
backbone.layers.0.blocks.0.norm2.weight,96,True
backbone.layers.0.blocks.0.norm2.bias,96,True
backbone.layers.0.blocks.0.mlp.fc1.weight,36864,False
backbone.layers.0.blocks.0.mlp.fc1.bias,384,False
backbone.layers.0.blocks.0.mlp.fc2.weight,36864,False
backbone.layers.0.blocks.0.mlp.fc2.bias,96,False
backbone.layers.0.blocks.1.norm1.weight,96,True
backbone.layers.0.blocks.1.norm1.bias,96,True
backbone.layers.0.blocks.1.attn.relative_position_bias_table,507,True
backbone.layers.0.blocks.1.attn.qkv.weight,27648,False
backbone.layers.0.blocks.1.attn.qkv.bias,288,False
backbone.layers.0.blocks.1.attn.proj.weight,9216,False
backbone.layers.0.blocks.1.attn.proj.bias,96,False
backbone.layers.0.blocks.1.norm2.weight,96,True
backbone.layers.0.blocks.1.norm2.bias,96,True
backbone.layers.0.blocks.1.mlp.fc1.weight,36864,False
backbone.layers.0.blocks.1.mlp.fc1.bias,384,False
backbone.layers.0.blocks.1.mlp.fc2.weight,36864,False
backbone.layers.0.blocks.1.mlp.fc2.bias,96,False
backbone.layers.0.downsample.reduction.weight,73728,True
backbone.layers.0.downsample.norm.weight,384,True
backbone.layers.0.downsample.norm.bias,384,True
backbone.layers.1.blocks.0.norm1.weight,192,True
backbone.layers.1.blocks.0.norm1.bias,192,True
backbone.layers.1.blocks.0.attn.relative_position_bias_table,1014,True
backbone.layers.1.blocks.0.attn.qkv.weight,110592,False
backbone.layers.1.blocks.0.attn.qkv.bias,576,False
backbone.layers.1.blocks.0.attn.proj.weight,36864,False
backbone.layers.1.blocks.0.attn.proj.bias,192,False
backbone.layers.1.blocks.0.norm2.weight,192,True
backbone.layers.1.blocks.0.norm2.bias,192,True
backbone.layers.1.blocks.0.mlp.fc1.weight,147456,False
backbone.layers.1.blocks.0.mlp.fc1.bias,768,False
backbone.layers.1.blocks.0.mlp.fc2.weight,147456,False
backbone.layers.1.blocks.0.mlp.fc2.bias,192,False
backbone.layers.1.blocks.1.norm1.weight,192,True
backbone.layers.1.blocks.1.norm1.bias,192,True
backbone.layers.1.blocks.1.attn.relative_position_bias_table,1014,True
backbone.layers.1.blocks.1.attn.qkv.weight,110592,False
backbone.layers.1.blocks.1.attn.qkv.bias,576,False
backbone.layers.1.blocks.1.attn.proj.weight,36864,False
backbone.layers.1.blocks.1.attn.proj.bias,192,False
backbone.layers.1.blocks.1.norm2.weight,192,True
backbone.layers.1.blocks.1.norm2.bias,192,True
backbone.layers.1.blocks.1.mlp.fc1.weight,147456,False
backbone.layers.1.blocks.1.mlp.fc1.bias,768,False
backbone.layers.1.blocks.1.mlp.fc2.weight,147456,False
backbone.layers.1.blocks.1.mlp.fc2.bias,192,False
backbone.layers.1.downsample.reduction.weight,294912,True
backbone.layers.1.downsample.norm.weight,768,True
backbone.layers.1.downsample.norm.bias,768,True
backbone.layers.2.blocks.0.norm1.weight,384,True
backbone.layers.2.blocks.0.norm1.bias,384,True
backbone.layers.2.blocks.0.attn.relative_position_bias_table,2028,True
backbone.layers.2.blocks.0.attn.qkv.weight,442368,False
backbone.layers.2.blocks.0.attn.qkv.bias,1152,False
backbone.layers.2.blocks.0.attn.proj.weight,147456,False
backbone.layers.2.blocks.0.attn.proj.bias,384,False
backbone.layers.2.blocks.0.norm2.weight,384,True
backbone.layers.2.blocks.0.norm2.bias,384,True
backbone.layers.2.blocks.0.mlp.fc1.weight,589824,False
backbone.layers.2.blocks.0.mlp.fc1.bias,1536,False
backbone.layers.2.blocks.0.mlp.fc2.weight,589824,False
backbone.layers.2.blocks.0.mlp.fc2.bias,384,False
backbone.layers.2.blocks.1.norm1.weight,384,True
backbone.layers.2.blocks.1.norm1.bias,384,True
backbone.layers.2.blocks.1.attn.relative_position_bias_table,2028,True
backbone.layers.2.blocks.1.attn.qkv.weight,442368,False
backbone.layers.2.blocks.1.attn.qkv.bias,1152,False
backbone.layers.2.blocks.1.attn.proj.weight,147456,False
backbone.layers.2.blocks.1.attn.proj.bias,384,False
backbone.layers.2.blocks.1.norm2.weight,384,True
backbone.layers.2.blocks.1.norm2.bias,384,True
backbone.layers.2.blocks.1.mlp.fc1.weight,589824,False
backbone.layers.2.blocks.1.mlp.fc1.bias,1536,False
backbone.layers.2.blocks.1.mlp.fc2.weight,589824,False
backbone.layers.2.blocks.1.mlp.fc2.bias,384,False
backbone.layers.2.blocks.2.norm1.weight,384,True
backbone.layers.2.blocks.2.norm1.bias,384,True
backbone.layers.2.blocks.2.attn.relative_position_bias_table,2028,True
backbone.layers.2.blocks.2.attn.qkv.weight,442368,False
backbone.layers.2.blocks.2.attn.qkv.bias,1152,False
backbone.layers.2.blocks.2.attn.proj.weight,147456,False
backbone.layers.2.blocks.2.attn.proj.bias,384,False
backbone.layers.2.blocks.2.norm2.weight,384,True
backbone.layers.2.blocks.2.norm2.bias,384,True
backbone.layers.2.blocks.2.mlp.fc1.weight,589824,False
backbone.layers.2.blocks.2.mlp.fc1.bias,1536,False
backbone.layers.2.blocks.2.mlp.fc2.weight,589824,False
backbone.layers.2.blocks.2.mlp.fc2.bias,384,False
backbone.layers.2.blocks.3.norm1.weight,384,True
backbone.layers.2.blocks.3.norm1.bias,384,True
backbone.layers.2.blocks.3.attn.relative_position_bias_table,2028,True
backbone.layers.2.blocks.3.attn.qkv.weight,442368,False
backbone.layers.2.blocks.3.attn.qkv.bias,1152,False
backbone.layers.2.blocks.3.attn.proj.weight,147456,False
backbone.layers.2.blocks.3.attn.proj.bias,384,False
backbone.layers.2.blocks.3.norm2.weight,384,True
backbone.layers.2.blocks.3.norm2.bias,384,True
backbone.layers.2.blocks.3.mlp.fc1.weight,589824,False
backbone.layers.2.blocks.3.mlp.fc1.bias,1536,False
backbone.layers.2.blocks.3.mlp.fc2.weight,589824,False
backbone.layers.2.blocks.3.mlp.fc2.bias,384,False
backbone.layers.2.blocks.4.norm1.weight,384,True
backbone.layers.2.blocks.4.norm1.bias,384,True
backbone.layers.2.blocks.4.attn.relative_position_bias_table,2028,True
backbone.layers.2.blocks.4.attn.qkv.weight,442368,False
backbone.layers.2.blocks.4.attn.qkv.bias,1152,False
backbone.layers.2.blocks.4.attn.proj.weight,147456,False
backbone.layers.2.blocks.4.attn.proj.bias,384,False
backbone.layers.2.blocks.4.norm2.weight,384,True
backbone.layers.2.blocks.4.norm2.bias,384,True
backbone.layers.2.blocks.4.mlp.fc1.weight,589824,False
backbone.layers.2.blocks.4.mlp.fc1.bias,1536,False
backbone.layers.2.blocks.4.mlp.fc2.weight,589824,False
backbone.layers.2.blocks.4.mlp.fc2.bias,384,False
backbone.layers.2.blocks.5.norm1.weight,384,True
backbone.layers.2.blocks.5.norm1.bias,384,True
backbone.layers.2.blocks.5.attn.relative_position_bias_table,2028,True
backbone.layers.2.blocks.5.attn.qkv.weight,442368,False
backbone.layers.2.blocks.5.attn.qkv.bias,1152,False
backbone.layers.2.blocks.5.attn.proj.weight,147456,False
backbone.layers.2.blocks.5.attn.proj.bias,384,False
backbone.layers.2.blocks.5.norm2.weight,384,True
backbone.layers.2.blocks.5.norm2.bias,384,True
backbone.layers.2.blocks.5.mlp.fc1.weight,589824,False
backbone.layers.2.blocks.5.mlp.fc1.bias,1536,False
backbone.layers.2.blocks.5.mlp.fc2.weight,589824,False
backbone.layers.2.blocks.5.mlp.fc2.bias,384,False
backbone.layers.2.downsample.reduction.weight,1179648,True
backbone.layers.2.downsample.norm.weight,1536,True
backbone.layers.2.downsample.norm.bias,1536,True
backbone.layers.3.blocks.0.norm1.weight,768,True
backbone.layers.3.blocks.0.norm1.bias,768,True
backbone.layers.3.blocks.0.attn.relative_position_bias_table,4056,True
backbone.layers.3.blocks.0.attn.qkv.weight,1769472,False
backbone.layers.3.blocks.0.attn.qkv.bias,2304,False
backbone.layers.3.blocks.0.attn.proj.weight,589824,False
backbone.layers.3.blocks.0.attn.proj.bias,768,False
backbone.layers.3.blocks.0.norm2.weight,768,True
backbone.layers.3.blocks.0.norm2.bias,768,True
backbone.layers.3.blocks.0.mlp.fc1.weight,2359296,False
backbone.layers.3.blocks.0.mlp.fc1.bias,3072,False
backbone.layers.3.blocks.0.mlp.fc2.weight,2359296,False
backbone.layers.3.blocks.0.mlp.fc2.bias,768,False
backbone.layers.3.blocks.1.norm1.weight,768,True
backbone.layers.3.blocks.1.norm1.bias,768,True
backbone.layers.3.blocks.1.attn.relative_position_bias_table,4056,True
backbone.layers.3.blocks.1.attn.qkv.weight,1769472,False
backbone.layers.3.blocks.1.attn.qkv.bias,2304,False
backbone.layers.3.blocks.1.attn.proj.weight,589824,False
backbone.layers.3.blocks.1.attn.proj.bias,768,False
backbone.layers.3.blocks.1.norm2.weight,768,True
backbone.layers.3.blocks.1.norm2.bias,768,True
backbone.layers.3.blocks.1.mlp.fc1.weight,2359296,False
backbone.layers.3.blocks.1.mlp.fc1.bias,3072,False
backbone.layers.3.blocks.1.mlp.fc2.weight,2359296,False
backbone.layers.3.blocks.1.mlp.fc2.bias,768,False
backbone.norm.weight,768,True
backbone.norm.bias,768,True
downsampler.semseg.downsample_0.weight,3456,True
downsampler.semseg.downsample_1.weight,13824,True
downsampler.semseg.downsample_2.weight,55296,True
downsampler.semseg.downsample_3.weight,110592,True
downsampler.normals.downsample_0.weight,3456,True
downsampler.normals.downsample_1.weight,13824,True
downsampler.normals.downsample_2.weight,55296,True
downsampler.normals.downsample_3.weight,110592,True
downsampler.sal.downsample_0.weight,3456,True
downsampler.sal.downsample_1.weight,13824,True
downsampler.sal.downsample_2.weight,55296,True
downsampler.sal.downsample_3.weight,110592,True
downsampler.human_parts.downsample_0.weight,3456,True
downsampler.human_parts.downsample_1.weight,13824,True
downsampler.human_parts.downsample_2.weight,55296,True
downsampler.human_parts.downsample_3.weight,110592,True
decoders.decoders.semseg.last_layer.0.weight,36450,True
decoders.decoders.semseg.last_layer.0.bias,135,True
decoders.decoders.semseg.last_layer.1.weight,135,True
decoders.decoders.semseg.last_layer.1.bias,135,True
decoders.decoders.semseg.last_layer.3.weight,2835,True
decoders.decoders.semseg.last_layer.3.bias,21,True
decoders.decoders.normals.last_layer.0.weight,36450,True
decoders.decoders.normals.last_layer.0.bias,135,True
decoders.decoders.normals.last_layer.1.weight,135,True
decoders.decoders.normals.last_layer.1.bias,135,True
decoders.decoders.normals.last_layer.3.weight,405,True
decoders.decoders.normals.last_layer.3.bias,3,True
decoders.decoders.sal.last_layer.0.weight,36450,True
decoders.decoders.sal.last_layer.0.bias,135,True
decoders.decoders.sal.last_layer.1.weight,135,True
decoders.decoders.sal.last_layer.1.bias,135,True
decoders.decoders.sal.last_layer.3.weight,135,True
decoders.decoders.sal.last_layer.3.bias,1,True
decoders.decoders.human_parts.last_layer.0.weight,36450,True
decoders.decoders.human_parts.last_layer.0.bias,135,True
decoders.decoders.human_parts.last_layer.1.weight,135,True
decoders.decoders.human_parts.last_layer.1.bias,135,True
decoders.decoders.human_parts.last_layer.3.weight,945,True
decoders.decoders.human_parts.last_layer.3.bias,7,True
